event_id,match_id,event_name,event_date,event_place,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,duration
30249,5,UFC 165 - Jones vs. Gustafsson,2013-09-21,"Air Canada Centre, Toronto, Ontario, Canada",Mitch Gagnon,Dustin Kimura,win,loss,37404,41247,TKO,Submission (Guillotine Choke,Yves Lavigne,1,4:05
33949,9,UFC 171 - Hendricks vs. Lawler,2014-03-15,"American Airlines Arena, Dallas, Texas, United States",Ovince St. Preux,Nikita Krylov,win,loss,38842,110937,TKO,Submission (Shoulder Choke,Dan Miragliotta,1,1:29
34401,7,UFC 172 - Jones vs. Teixeira,2014-04-26,"Baltimore Arena, Baltimore, Maryland, United States",Jim Miller,Yancy Medeiros,win,loss,14463,27738,TKO,Submission (Guillotine Choke,Mario Yamasaki,1,3:18
35617,11,UFC 173 - Barao vs. Dillashaw,2014-05-24,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Daniel Cormier,Dan Henderson,win,loss,52311,195,TKO,Submission (Rear-Naked Choke,Yves Lavigne,3,3:53
35617,4,UFC 173 - Barao vs. Dillashaw,2014-05-24,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Mitch Clarke,Al Iaquinta,win,loss,22556,42817,TKO,Submission (Brabo Choke,Jason Herzog,2,0:57
35955,10,UFC - The Ultimate Fighter Brazil 3 Finale,2014-05-31,"Geraldo Jose de Almeida (Ibirapuera) Gymnasium, Sao Paulo, Sao Paulo, Brazil",Warlley Alves,Marcio Alexandre Jr.,win,loss,70750,95457,TKO,Submission (Guillotine Choke,Mario Yamasaki,3,0:25
36731,2,UFC Fight Night 44 - Swanson vs. Stephens,2014-06-28,"AT&T Center, San Antonio, Texas, United States",Ray Borg,Shane Howell,win,loss,84752,20906,TKO,Submission (Rear-Naked Choke,Jacob Montalvo,1,2:17
38011,1,UFC 177 - Dillashaw vs. Soto,2014-08-30,"Sleep Train Arena, Sacramento, California, United States",Chris Wade,Cain Carrizosa,win,loss,79335,84645,TKO,Submission (Guillotine Choke,Jason Herzog,1,1:12
37745,2,UFC Fight Night 52 - Hunt vs. Nelson,2014-09-20,"Saitama Super Arena, Saitama, Japan, Japan",Johnny Case,Kazuki Tokudome,win,loss,28017,26192,TKO,Submission (Guillotine Choke,Steve Perceval,2,2:34
40339,7,UFC Fight Night 55 - Rockhold vs. Bisping,2014-11-07,"Allphones Arena, Sydney, New South Wales, Australia",Jake Matthews,Vagner Rocha,win,loss,122139,43107,TKO,Submission (Rear-Naked Choke,John Sharp,2,1:52
37549,3,UFC 180 - Werdum vs. Hunt,2014-11-15,"Mexico City Arena, Mexico City, Federal District, Mexico",Gabriel Benitez,Humberto Brown Morrison,win,loss,25733,45721,TKO,Submission (Guillotine Choke,Mario Yamasaki,3,0:30
35511,3,UFC 181 - Hendricks vs. Lawler 2,2014-12-06,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Raquel Pennington,Ashlee Evans-Smith,win,loss,75564,75021,TKO,Submission (Bulldog Choke,Mark Smith,1,4:59
40613,8,UFC Fight Night 58 - Machida vs. Dollaway,2014-12-20,"Jose Correa Arena, Barueri, Sao Paulo, Brazil",Erick Silva,Mike Rhodes,win,loss,15009,87296,TKO,Submission (Arm-Triangle Choke,Mario Yamasaki,1,1:15
39291,8,UFC 183 - Silva vs. Diaz,2015-01-31,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Thales Leites,Tim Boetsch,win,loss,8593,19544,TKO,Submission (Arm-Triangle Choke,John McCarthy,2,3:45
41893,6,UFC 184 - Rousey vs. Zingano,2015-02-28,"Staples Center, Los Angeles, California, United States",Roan Carneiro,Mark Munoz,win,loss,2886,22411,TKO,Submission (Rear-Naked Choke,Jerin Valel,1,1:40
42203,3,UFC Fight Night 68 - Boetsch vs. Henderson,2015-06-06,"Smoothie King Center, New Orleans, Louisiana, United States",Joe Proctor,Justin Edwards,win,loss,46307,37452,TKO,Submission (Guillotine Choke,Myron Gaudet,3,4:58
42205,4,UFC 188 - Velasquez vs. Werdum,2015-06-13,"Mexico City Arena, Mexico City, Federal District, Mexico",Patrick Williams,Alejandro Perez,win,loss,69607,13428,TKO,Submission (Guillotine Choke,Dan Miragliotta,1,0:23
42223,13,UFC Fight Night 73 - Teixeira vs. St. Preux,2015-08-08,"Bridgestone Arena, Nashville, Tennessee, United States",Glover Teixeira,Ovince St. Preux,win,loss,4655,38842,TKO,Submission (Rear-Naked Choke,John McCarthy,3,3:10
45847,4,UFC Fight Night 75 - Barnett vs. Nelson,2015-09-26,"Saitama Super Arena, Saitama, Japan",Keita Nakamura,Jingliang Li,win,loss,9572,26381,TKO,Submission (Rear-Naked Choke,Neil Swailes,3,2:17
42237,7,UFC Fight Night 77 - Belfort vs. Henderson 3,2015-11-07,"Geraldo Jose de Almeida (Ibirapuera) State Gymnasium, Sao Paulo, Sao Paulo, Brazil",Gleison Tibau,Abel Trujillo,win,loss,5993,17129,TKO,Submission (Rear-Naked Choke,Keith Peterson,1,1:45
47669,3,UFC Fight Night 80 - Namajunas vs. VanZant,2015-12-10,"The Chelsea at the Cosmopolitan, Las Vegas, Nevada, United States",Danny Roberts,Nathan Coy,win,loss,64677,25412,TKO,Submission (Triangle Choke,Jason Herzog,1,2:46
42249,2,UFC on Fox 17 - Dos Anjos vs. Cerrone 2,2015-12-19,"Amway Center, Orlando, Florida, United States",Vicente Luque,Hayder Hassan,win,loss,66474,46033,TKO,Submission (Anaconda Choke,Jorge Alonso,1,2:13
6778,7,UFC 85 - Bedlam,2008-06-07,"O2 Arena, London, England, England",Fabricio Werdum,Brandon Vera,win,loss,8390,4886,TKO,Punches,Dan Miragliotta,1,4:40
6778,6,UFC 85 - Bedlam,2008-06-07,"O2 Arena, London, England, England",Martin Kampmann,Jorge Rivera,win,loss,5344,2712,Submission,Guillotine Choke,Herb Dean,1,2:44
6778,5,UFC 85 - Bedlam,2008-06-07,"O2 Arena, London, England, England",Matt Wiman,Thiago Tavares,win,loss,12236,4647,KO,Punches,Dan Miragliotta,2,1:57
6778,4,UFC 85 - Bedlam,2008-06-07,"O2 Arena, London, England, England",Kevin Burns,Roan Carneiro,win,loss,20512,2886,Submission,Triangle Choke,Mario Yamasaki,2,2:53
6778,3,UFC 85 - Bedlam,2008-06-07,"O2 Arena, London, England, England",Luiz Cane,Jason Lambert,win,loss,17559,495,TKO,Punches,Herb Dean,1,2:07
6778,1,UFC 85 - Bedlam,2008-06-07,"O2 Arena, London, England, England",Antoni Hardonk,Eddie Sanchez,win,loss,1518,12098,TKO,Punches,Mario Yamasaki,2,4:15
6954,10,UFC - The Ultimate Fighter 7 Finale,2008-06-21,"Palms Casino Resort, Las Vegas, Nevada, United States",Kendall Grove,Evan Tanner,win,loss,10126,212,Decision,Split,Steve Mazzagatti,3,5:00
6954,9,UFC - The Ultimate Fighter 7 Finale,2008-06-21,"Palms Casino Resort, Las Vegas, Nevada, United States",Amir Sadollah,C.B. Dollaway,win,loss,34071,22350,Submission,Armbar,Herb Dean,1,3:02
6954,8,UFC - The Ultimate Fighter 7 Finale,2008-06-21,"Palms Casino Resort, Las Vegas, Nevada, United States",Diego Sanchez,Luigi Fioravanti,win,loss,4824,12199,TKO,Knee and Punches,Josh Rosenthal,3,4:07
6954,7,UFC - The Ultimate Fighter 7 Finale,2008-06-21,"Palms Casino Resort, Las Vegas, Nevada, United States",Spencer Fisher,Jeremy Stephens,win,loss,5118,12179,Decision,Unanimous,Steve Mazzagatti,3,5:00
6954,6,UFC - The Ultimate Fighter 7 Finale,2008-06-21,"Palms Casino Resort, Las Vegas, Nevada, United States",Matt Riddle,Dante Rivera,win,loss,34072,5746,Decision,Unanimous,Herb Dean,3,5:00
6954,5,UFC - The Ultimate Fighter 7 Finale,2008-06-21,"Palms Casino Resort, Las Vegas, Nevada, United States",Dustin Hazelett,Joshua Burkman,win,loss,11481,10003,Submission,Armbar,Josh Rosenthal,2,4:46
6954,4,UFC - The Ultimate Fighter 7 Finale,2008-06-21,"Palms Casino Resort, Las Vegas, Nevada, United States",Drew McFedries,Marvin Eastman,win,loss,2386,339,TKO,Punches,Steve Mazzagatti,1,1:08
6954,3,UFC - The Ultimate Fighter 7 Finale,2008-06-21,"Palms Casino Resort, Las Vegas, Nevada, United States",Matt Brown,Matt Arroyo,win,loss,14310,19456,TKO,Punches,Herb Dean,2,3:40
6954,2,UFC - The Ultimate Fighter 7 Finale,2008-06-21,"Palms Casino Resort, Las Vegas, Nevada, United States",Dean Lister,Jeremy Horn,win,loss,338,202,Submission,Guillotine Choke,Josh Rosenthal,1,3:52
6954,1,UFC - The Ultimate Fighter 7 Finale,2008-06-21,"Palms Casino Resort, Las Vegas, Nevada, United States",Rob Kimmons,Rob Yundt,win,loss,9863,16858,Submission,Guillotine Choke,Herb Dean,1,3:58
7021,9,UFC 86 - Jackson vs. Griffin,2008-07-05,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Forrest Griffin,Quinton Jackson,win,loss,3526,348,Decision,Unanimous,Yves Lavigne,5,5:00
7021,8,UFC 86 - Jackson vs. Griffin,2008-07-05,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Patrick Cote,Ricardo Almeida,win,loss,6612,11,Decision,Split,Herb Dean,3,5:00
7021,7,UFC 86 - Jackson vs. Griffin,2008-07-05,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Joe Stevenson,Gleison Tibau,win,loss,65,5993,Submission,Guillotine Choke,Steve Mazzagatti,2,2:57
7021,6,UFC 86 - Jackson vs. Griffin,2008-07-05,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Josh Koscheck,Chris Lytle,win,loss,9418,267,Decision,Unanimous,Yves Lavigne,3,5:00
7021,5,UFC 86 - Jackson vs. Griffin,2008-07-05,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Tyson Griffin,Marcus Aurelio,win,loss,11689,4833,Decision,Unanimous,Herb Dean,3,5:00
7021,4,UFC 86 - Jackson vs. Griffin,2008-07-05,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Gabriel Gonzaga,Justin McCully,win,loss,7306,930,Submission,Kimura,Steve Mazzagatti,1,1:57
7021,3,UFC 86 - Jackson vs. Griffin,2008-07-05,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Cole Miller,Jorge Gurgel,win,loss,13133,4025,Submission,Triangle Choke,Yves Lavigne,3,4:48
7021,2,UFC 86 - Jackson vs. Griffin,2008-07-05,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Melvin Guillard,Dennis Siver,win,loss,7431,9817,TKO,Punches,Herb Dean,1,0:36
7021,1,UFC 86 - Jackson vs. Griffin,2008-07-05,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Justin Buchholz,Corey Hill,win,loss,18062,23864,Submission,Rear-Naked Choke,Steve Mazzagatti,2,3:57
7835,11,UFC Fight Night 14 - Silva vs. Irvin,2008-07-19,"Palms Casino Resort, Las Vegas, Nevada, United States",Anderson Silva,James Irvin,win,loss,1356,7780,KO,Punches,Mario Yamasaki,1,1:01
7835,10,UFC Fight Night 14 - Silva vs. Irvin,2008-07-19,"Palms Casino Resort, Las Vegas, Nevada, United States",Brandon Vera,Reese Andy,win,loss,4886,12692,Decision,Unanimous,Steve Mazzagatti,3,5:00
7835,9,UFC Fight Night 14 - Silva vs. Irvin,2008-07-19,"Palms Casino Resort, Las Vegas, Nevada, United States",Frankie Edgar,Hermes Franca,win,loss,14204,3068,Decision,Unanimous,Yves Lavigne,3,5:00
7835,8,UFC Fight Night 14 - Silva vs. Irvin,2008-07-19,"Palms Casino Resort, Las Vegas, Nevada, United States",Cain Velasquez,Jake O'Brien,win,loss,19102,14892,TKO,Punches,Mario Yamasaki,1,2:02
7835,7,UFC Fight Night 14 - Silva vs. Irvin,2008-07-19,"Palms Casino Resort, Las Vegas, Nevada, United States",Kevin Burns,Anthony Johnson,win,loss,20512,17662,TKO,Eye Injury,Steve Mazzagatti,3,3:35
7835,6,UFC Fight Night 14 - Silva vs. Irvin,2008-07-19,"Palms Casino Resort, Las Vegas, Nevada, United States",C.B. Dollaway,Jesse Taylor,win,loss,22350,17389,Submission,Peruvian Necktie,Yves Lavigne,1,3:58
7835,5,UFC Fight Night 14 - Silva vs. Irvin,2008-07-19,"Palms Casino Resort, Las Vegas, Nevada, United States",Tim Credeur,Cale Yarbrough,win,loss,1804,34073,TKO,Punches,Mario Yamasaki,1,1:54
7835,4,UFC Fight Night 14 - Silva vs. Irvin,2008-07-19,"Palms Casino Resort, Las Vegas, Nevada, United States",Rory Markham,Brodie Farber,win,loss,10768,6123,KO,Head Kick,Steve Mazzagatti,1,1:37
7835,3,UFC Fight Night 14 - Silva vs. Irvin,2008-07-19,"Palms Casino Resort, Las Vegas, Nevada, United States",Nate Loughran,Johnny Rees,win,loss,15626,14891,Submission,Triangle Choke,Yves Lavigne,1,4:21
7835,2,UFC Fight Night 14 - Silva vs. Irvin,2008-07-19,"Palms Casino Resort, Las Vegas, Nevada, United States",Brad Blackburn,James Giboo,win,loss,2920,14266,TKO,Flying Knee and Punches,Steve Mazzagatti,2,2:29
15438,11,UFC Live 3 - Sanchez vs. Kampmann,2011-03-03,"KFC Yum! Center, Louisville, Kentucky, United States",Diego Sanchez,Martin Kampmann,win,loss,4824,5344,Decision,Unanimous,Herb Dean,3,5:00
15438,10,UFC Live 3 - Sanchez vs. Kampmann,2011-03-03,"KFC Yum! Center, Louisville, Kentucky, United States",Mark Munoz,C.B. Dollaway,win,loss,22411,22350,KO,Punches,Mario Yamasaki,1,0:54
15438,9,UFC Live 3 - Sanchez vs. Kampmann,2011-03-03,"KFC Yum! Center, Louisville, Kentucky, United States",Chris Weidman,Alessio Sakara,win,loss,42804,5366,Decision,Unanimous,Gary Copeland,3,5:00
15438,7,UFC Live 3 - Sanchez vs. Kampmann,2011-03-03,"KFC Yum! Center, Louisville, Kentucky, United States",Cyrille Diabate,Steve Cantwell,win,loss,2191,12785,Decision,Unanimous,Herb Dean,3,5:00
15438,6,UFC Live 3 - Sanchez vs. Kampmann,2011-03-03,"KFC Yum! Center, Louisville, Kentucky, United States",Danny Castillo,Joe Stevenson,win,loss,26070,65,Decision,Unanimous,Gary Copeland,3,5:00
15438,5,UFC Live 3 - Sanchez vs. Kampmann,2011-03-03,"KFC Yum! Center, Louisville, Kentucky, United States",Shane Roller,Thiago Tavares,win,loss,24540,4647,KO,Punches,Mario Yamasaki,2,1:28
15438,4,UFC Live 3 - Sanchez vs. Kampmann,2011-03-03,"KFC Yum! Center, Louisville, Kentucky, United States",Takeya Mizugaki,Reuben Duran,win,loss,12074,26602,Decision,Split,Herb Dean,3,5:00
15438,3,UFC Live 3 - Sanchez vs. Kampmann,2011-03-03,"KFC Yum! Center, Louisville, Kentucky, United States",Dongi Yang,Rob Kimmons,win,loss,23501,9863,TKO,Punches,Gary Copeland,2,4:47
15438,2,UFC Live 3 - Sanchez vs. Kampmann,2011-03-03,"KFC Yum! Center, Louisville, Kentucky, United States",Rousimar Palhares,David Branch,win,loss,16286,32431,Submission,Heel Hook,Mario Yamasaki,2,1:44
15438,1,UFC Live 3 - Sanchez vs. Kampmann,2011-03-03,"KFC Yum! Center, Louisville, Kentucky, United States",Igor Pokrajac,Todd Brown,win,loss,7621,21887,TKO,Retirement,Chris Kinman,1,5:00
15483,12,UFC 128 - Shogun vs. Jones,2011-03-19,"Prudential Center, Newark, New Jersey, United States",Jon Jones,Mauricio Rua,win,loss,27944,5707,TKO,Punches and Knees,Herb Dean,3,2:37
15483,11,UFC 128 - Shogun vs. Jones,2011-03-19,"Prudential Center, Newark, New Jersey, United States",Urijah Faber,Eddie Wineland,win,loss,8847,4173,Decision,Unanimous,Keith Peterson,3,5:00
15483,10,UFC 128 - Shogun vs. Jones,2011-03-19,"Prudential Center, Newark, New Jersey, United States",Jim Miller,Kamal Shalorus,win,loss,14463,31151,TKO,Punches,Kevin Mulhall,3,2:15
15483,9,UFC 128 - Shogun vs. Jones,2011-03-19,"Prudential Center, Newark, New Jersey, United States",Nate Marquardt,Dan Miller,win,loss,1712,14464,Decision,Unanimous,Dan Miragliotta,3,5:00
15483,8,UFC 128 - Shogun vs. Jones,2011-03-19,"Prudential Center, Newark, New Jersey, United States",Brendan Schaub,Mirko Filipovic,win,loss,33926,2326,KO,Punch,Herb Dean,3,3:44
15483,7,UFC 128 - Shogun vs. Jones,2011-03-19,"Prudential Center, Newark, New Jersey, United States",Luiz Cane,Eliot Marshall,win,loss,17559,15104,TKO,Punches,Dan Miragliotta,1,2:15
15483,6,UFC 128 - Shogun vs. Jones,2011-03-19,"Prudential Center, Newark, New Jersey, United States",Edson Barboza,Anthony Njokuani,win,loss,46259,7540,Decision,Unanimous,Keith Peterson,3,5:00
15483,5,UFC 128 - Shogun vs. Jones,2011-03-19,"Prudential Center, Newark, New Jersey, United States",Mike Pyle,Ricardo Almeida,win,loss,4577,11,Decision,Unanimous,Kevin MacDonald,3,5:00
15483,4,UFC 128 - Shogun vs. Jones,2011-03-19,"Prudential Center, Newark, New Jersey, United States",Gleison Tibau,Kurt Pellegrino,win,loss,5993,4153,Decision,Split,Herb Dean,3,5:00
15483,3,UFC 128 - Shogun vs. Jones,2011-03-19,"Prudential Center, Newark, New Jersey, United States",Joseph Benavidez,Ian Loveland,win,loss,15008,13793,Decision,Unanimous,Kevin Mulhall,3,5:00
15483,2,UFC 128 - Shogun vs. Jones,2011-03-19,"Prudential Center, Newark, New Jersey, United States",Nick Catone,Costas Philippou,win,loss,23006,32432,Decision,Unanimous,Kevin MacDonald,3,5:00
15483,1,UFC 128 - Shogun vs. Jones,2011-03-19,"Prudential Center, Newark, New Jersey, United States",Erik Koch,Raphael Assuncao,win,loss,23390,9574,KO,Punch,Kevin Mulhall,1,2:32
15559,12,UFC Fight Night 24 - Nogueira vs. Davis,2011-03-26,"Key Arena, Seattle, Washington, United States",Phil Davis,Antonio Rogerio Nogueira,win,loss,27802,2270,Decision,Unanimous,Herb Dean,3,5:00
15559,11,UFC Fight Night 24 - Nogueira vs. Davis,2011-03-26,"Key Arena, Seattle, Washington, United States",Anthony Johnson,Dan Hardy,win,loss,17662,10629,Decision,Unanimous,Josh Rosenthal,3,5:00
15559,10,UFC Fight Night 24 - Nogueira vs. Davis,2011-03-26,"Key Arena, Seattle, Washington, United States",Amir Sadollah,DaMarques Johnson,win,loss,34071,12913,Submission,Elbows,Mario Yamasaki,2,3:27
15559,9,UFC Fight Night 24 - Nogueira vs. Davis,2011-03-26,"Key Arena, Seattle, Washington, United States",Chan Sung Jung,Leonard Garcia,win,loss,36155,2815,Submission,Twister,Dan Miragliotta,2,4:59
15559,8,UFC Fight Night 24 - Nogueira vs. Davis,2011-03-26,"Key Arena, Seattle, Washington, United States",Mike Russow,Jon Madsen,win,loss,20552,48820,TKO,Doctor Stoppage,Anthony Hamlett,2,5:00
15559,7,UFC Fight Night 24 - Nogueira vs. Davis,2011-03-26,"Key Arena, Seattle, Washington, United States",Mackens Semerzier,Alex Caceres,win,loss,38841,41586,Submission,Rear-Naked Choke,Mario Yamasaki,1,3:18
15559,6,UFC Fight Night 24 - Nogueira vs. Davis,2011-03-26,"Key Arena, Seattle, Washington, United States",John Hathaway,Kris McCray,win,loss,16704,39432,Decision,Split,Herb Dean,3,5:00
15559,5,UFC Fight Night 24 - Nogueira vs. Davis,2011-03-26,"Key Arena, Seattle, Washington, United States",Michael McDonald,Edwin Figueroa,win,loss,30297,22490,Decision,Unanimous,Josh Rosenthal,3,5:00
540,4,UFC 34 - High Voltage,2001-11-02,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Josh Barnett,Bobby Hoffman,win,loss,272,265,Submission,Punches,N/A,2,4:25
