fid,name,dob,height_inches,weight_lbs,association,division,country,reach_inches,strike_offense_per_min,strike_offense_accuracy,strike_defense_per_min,strike_defense_accuracy,takedowns_per_fight,takedowns_accuracy,takedowns_defense,submissions_per_fight,wins,losses,draws,total_fights,win_pct,finish_pct
167,Tony Halme,1963-01-06,76,300,,Super Heavyweight,Finnland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Dieuseul Berto,1960-07-16,69,200,Tiger's World of Martial Arts,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
139,Moti Horenstein,1964-03-23,73,205,Moti Horenstein MMA,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
12,Enson Inoue,1967-04-15,70,210,Purebred Omiya,Light Heavyweight,Japan,,1.7,63,1.88,30,0,0,33,0,0,0,0,0,0,0
154,Wallid Ismail,1968-02-22,67,182,Brazil Dojo,Middleweight,Brazil,,,,,,,,,,0,0,0,0,0,0
27440,Maciej Jewtuszko,1981-01-31,72,155,Berserkers Team,Lightweight,Poland,,2.29,45,1.39,66,0,0,42,0.9,0,0,0,0,0,0
20,Art Jimmerson,1963-08-04,73,196,,Light Heavyweight,United States,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Brian Johnston,1968-07-28,76,222,American Kickboxing Academy,Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
55,Eldo Dias Xavier,1964-07-16,71,180,,Middleweight,Brazil,,,,,,,,,,0,0,0,0,0,0
71,Mark Kerr,1968-12-21,75,266,Team Kerr,Heavyweight,United States,,0.28,41,0.89,28,2.92,77,0,0.4,0,0,0,0,0,0
134,Koji Kitao,1963-08-12,79,390,New Japan Pro Wrestling,Super Heavyweight,Japan,,,,,,,,,,0,0,0,0,0,0
181,Brad Kohler,1964-05-26,69,220,,Heavyweight,United States,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Christophe Leninger,1962-07-16,72,200,,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
220,Dave Roberts,1979-11-15,73,203,,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
210,John Lober,1968-02-26,71,199,Team Machine,Middleweight,United States,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Anthony Macias,1969-07-16,70,170,USA Stars,Welterweight,United States,,,,,,,,,,0,0,0,0,0,0
61,Todd Medina,1970-04-30,70,205,Carlson Gracie Jiu-Jitsu,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
14,Guy Mezger,1968-01-01,73,200,Lion's Den Dallas,Light Heavyweight,United States,,2.3,32,1.36,72,0.39,50,88,0,0,0,0,0,0,0
176,Harry Moskowitz,1968-07-16,77,275,,Super Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
44211,Pedro Nobre,1986-02-13,65,135,Rio Fighters,Flyweight,Brazil,,1.37,30,9.16,35,0,0,0,0,0,0,0,0,0,0
1015,Jorge Patino,1973-05-08,68,155,Macaco Gold Team,Lightweight,United States,,,,,,,,,,0,0,0,0,0,0
42,Roland Payne,1964-07-16,69,205,,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
221,Tony Petarra,1966-11-08,71,196,Shark Tank,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
1629,Joey Roberts,1977-11-11,74,200,Memphis Bad Boyz,Light Heavyweight,None,,,,,,,,,,0,0,0,0,0,0
280,Mark Robinson,1970-12-31,72,300,Cal Cooper,Super Heavyweight,USA,,,,,,,,,,0,0,0,0,0,0
885,Jack McLaughlin,1961-10-01,70,218,,Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
214,Bas Rutten,1965-02-24,73,205,,Light Heavyweight,Netherlands,,5.59,61,2.06,79,0,0,0,0,0,0,0,0,0,0
189,Townsend Saunders,1968-07-16,65,170,,Welterweight,United States,,,,,,,,,,0,0,0,0,0,0
133,Mark Schultz,1960-10-26,70,203,,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
21,Patrick Smith,1963-07-16,74,225,,Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
50,Joe Son,1970-11-20,64,236,,Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
47,Oleg Taktarov,1967-08-26,72,210,Freelance,Heavyweight,Russia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69341,Matheus Nicolau Pereira,1993-01-06,66,135,Nova Uniao,Bantamweight,Brazil,,,,,,,,,,0,0,0,0,0,0
16,Teila Tuli,1969-06-14,74,430,,Super Heavyweight,United States,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Paul Varelans,1969-09-17,80,300,,Super Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
171,Yuri Vaulin,1963-09-13,76,207,,N/A,Latvia,,,,,,,,,,0,0,0,0,0,0
122,Sam Adkins,1965-04-26,75,225,,Heavyweight,United States,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Ron van Clief,1943-01-25,70,190,,Light Heavyweight,United States,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Kevin Rosier,1962-01-06,76,265,,Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
52454,Reginaldo Vieira,1982-11-26,66,135,Peso Pesado Gold Team,Flyweight,Brazil,65,3.42,49,2.86,57,1.95,60,25,1.3,0,0,0,0,0,0
31,Orlando Wiet,1965-10-24,70,170,Team Wiet,Welterweight,France,,,,,,,,,,0,0,0,0,0,0
39,Emmanuel Yarborough,1964-09-05,80,600,Freelance,Super Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
229,Alfonso Alcarez,1970-06-10,63,145,Nickwan Kick Gym,Bantamweight,United States,,0,0,0,0,0,0,0,0,0,0,1,1,0,0
247,Jermaine Andre,1973-07-16,67,185,,Middleweight,United States,,,,,,,,,,0,1,0,1,0,0
720,Edwin Dewees,1982-08-07,73,185,Lions Den Scottsdale,Light Heavyweight,United States,,1.53,33,6.19,39,2.18,66,0,3.3,0,3,0,3,0,0
853,Homer Moore,1971-11-12,70,205,,Light Heavyweight,United States,,,,,,,,,,0,1,0,1,0,0
886,Brian Gassaway,1972-08-07,72,170,,Welterweight,United States,,0.34,26,3.65,44,0,0,42,0,0,1,0,1,0,0
900,Steve Vigneault,1978-02-14,70,185,Tristar Gym,Welterweight,Canada,,2.19,28,5.75,44,0,0,100,0,0,1,0,1,0,0
1042,Jason Black,1972-08-15,70,169,Miletich Martial Arts,Welterweight,United States,,,,,,,,,,0,2,0,2,0,0
1170,Dokonjonosuke Mishima,1972-04-19,67,155,Cobra Kai MMA Dojo,Lightweight,Japan,,1.06,41,1.22,52,2.47,40,25,1.4,0,2,0,2,0,0
1255,Yuki Sasaki,1976-09-12,72,185,Grabaka,Middleweight,Japan,,1.09,43,1.2,57,0.43,100,66,0,0,1,0,1,0,0
1306,Joey Gilbert,1970-04-14,65,154,Gilbert Grappling,Lightweight,United States,,,,,,,,,,0,1,0,1,0,0
1331,Andy Wang,1977-05-28,66,155,Grappling Unlimited,Lightweight,United States,,3.43,36,10.29,62,0,0,0,0,0,1,0,1,0,0
1332,Paul Rodriguez,1975-05-18,68,155,American Top Team Orlando,Lightweight,United States,,,,,,,,,,0,1,0,1,0,0
1349,Yasuhiro Urushitani,1976-09-08,65,125,Tribe Tokyo MMA,Flyweight,Japan,,3.47,39,4.71,65,0,0,80,0,0,2,0,2,0,0
1398,Alexandre Ferreira,1979-04-25,67,205,Chute Boxe,Light Heavyweight,Brazil,,2.57,60,8.14,42,0,0,0,0,0,1,0,1,0,0
1424,Alexandre Barros,1976-11-19,68,170,Carlson Gracie Team,Welterweight,Brazil,,0.98,40,4.05,36,1.84,50,100,0,0,1,0,1,0,0
1449,Chris Haseman,1969-06-02,71,205,Rings Australia,Light Heavyweight,Australia,,0.93,70,4.67,28,0,0,40,2,0,1,0,1,0,0
1542,Rich Crunkilton,1979-11-25,67,155,American Kickboxing Academy,Lightweight,United States,,,,,,,,,,0,1,0,1,0,0
1562,Rodrigo Ruas,1977-10-06,70,185,Ruas Vale Tudo,Middleweight,Brazil,,1.28,35,7,41,0,0,0,0,0,1,0,1,0,0
1767,James Zikic,1977-03-31,74,185,London Shootfighters,Middleweight,England,,,,,,,,,,0,1,0,1,0,0
1926,Justin James,1976-11-08,70,155,,Lightweight,USA,,1.34,36,2.68,50,0,0,50,1.6,0,1,0,1,0,0
98151,Konstantin Erokhin,1982-01-02,71,233,,Heavyweight,Russia,,,,,,,,,,0,2,0,2,0,0
3139,Sam Morgan,1981-09-28,70,165,Team Bison,Welterweight,USA,,,,,,,,,,0,2,0,2,0,0
110,David Abbott,1965-04-26,72,250,,Heavyweight,United States,,,,,,,,,,0,3,0,3,0,0
1964,Sean Alvarez,1971-07-14,72,235,Renzo Gracie Jiu-Jitsu,Heavyweight,USA,,0.89,37,3.25,47,0,0,0,0,0,1,0,1,0,0
1995,Amar Suloev,1976-07-01,69,183,Red Devil Sport Club,Middleweight,Armenia,,1.98,37,2.19,70,0.27,100,88,0.3,0,2,0,2,0,0
2093,Keith Rockel,1965-08-28,72,185,Team Elite,Middleweight,United States,,,,,,,,,,0,1,0,1,0,0
2095,Keith Wisniewski,1981-10-25,71,170,Duneland Vale Tudo,Welterweight,United States,75,2.32,52,4.86,42,1.57,40,78,0.3,0,4,0,4,0,0
2224,James Lee,1973-09-22,71,205,Mash Fight Team,Light Heavyweight,United States,,1.4,42,3.72,27,13.95,50,0,7,0,1,0,1,0,0
2235,Eiji Mitsuoka,1976-01-01,67,145,Wajyutsu Keisyukai RJW,Featherweight,Japan,,1.49,49,2.26,45,2.3,36,20,1.6,0,2,0,2,0,0
2291,Cole Escovedo,1981-08-30,67,135,Pacific Martial Arts,Bantamweight,United States,72,1.82,45,4.85,45,0.55,40,10,0,0,3,0,3,0,0
2295,Nick Agallar,1979-01-13,68,155,Agallar Combative Systems,Lightweight,United States,,0.69,11,4.56,42,0,0,0,0,0,1,0,1,0,0
78898,Teruto Ishihara,1991-07-23,67,145,Chokushinkai,Featherweight,Japan,69,4.62,48,4.33,59,0,0,42,0,0,0,1,1,0,0
225,Flavio Luiz Moura,1976-01-26,71,187,Gracie Fusion,N/A,Brazil,,,,,,,,,,0,1,0,1,0,0
2304,Wade Shipp,1975-02-09,75,245,Alliance MMA,Heavyweight,United States,,4.29,86,2.14,0,0,0,75,0,0,1,0,1,0,0
2327,Gerald Strebendt,1979-03-01,69,155,10th Planet Jiu-Jitsu,Lightweight,United States,,0,0,4,38,0,0,0,16.4,0,1,0,1,0,0
2860,David Baron,1973-02-15,71,155,Pellegrino MMA,Featherweight,United States,,1.17,30,2.1,56,0,0,14,0.7,0,1,0,1,0,0
3071,Leigh Remedios,1976-01-13,67,155,Team Quannum,Featherweight,England,,0.75,41,1.36,68,0,0,33,0,0,1,0,1,0,0
3089,Tim McKenzie,1982-07-21,71,185,,Middleweight,United States,74,1.37,54,2.96,44,0,0,28,2.1,0,1,0,1,0,0
3217,Luis Ramos,1981-01-18,68,170,Nova Uniao,Welterweight,Brazil,,2.4,35,5.6,42,1.5,20,100,0,0,2,0,2,0,0
3225,Nick Serra,1978-03-27,69,170,Serra-Longo Fight Team,N/A,USA,,0,0,1.73,43,1,10,0,2,0,1,0,1,0,0
3263,Jeff Newton,1966-12-11,74,205,Todd Medina Freestyle Team,Light Heavyweight,United States,,0.28,20,1.41,52,0,0,0,8.5,0,1,0,1,0,0
3265,Eddie Ruiz,1967-06-10,67,155,,Lightweight,USA,,0.2,25,1.4,47,2,12,0,0,0,1,0,1,0,0
3363,Kristof Midoux,1974-07-30,73,220,Boxing Squad,Heavyweight,France,,0.7,43,2.89,49,0,0,0,0,0,1,0,1,0,0
3660,Travis Wiuff,1978-03-15,75,205,Elite Performance,Heavyweight,United States,,0.48,30,4.03,41,4.84,57,44,1.2,0,2,0,2,0,0
115911,Wagner Silva Gomes,1987-02-07,72,185,Tata Fight Team,Middleweight,Brazil,,,,,,,,,,0,2,0,2,0,0
3863,David Bielkheden,1979-06-06,70,155,Brazilian Top Team,Welterweight,Sweden,71,1.11,57,1.64,54,2.65,63,14,0,0,2,0,2,0,0
3919,Zach Light,1974-02-06,68,170,Wolfslair,Welterweight,United States,,0.81,33,1.9,48,1.36,100,0,0,0,1,0,1,0,0
215,Jason Godsey,1964-01-01,74,245,Integrated Fighting Academy,Heavyweight,United States,,,,,,,,,,0,1,0,1,0,0
259,John Alessio,1979-07-05,70,155,Xtreme Couture,Lightweight,Canada,72,1.87,35,2.46,57,1.78,36,72,1,0,5,0,5,0,0
264,Alexandre Dantas,1979-01-03,74,238,Gracie Barra Combat Team,Heavyweight,Brazil,,,,,,,,,,0,2,0,2,0,0
4000,Alex Schoenauer,1976-05-05,75,185,Xtreme Couture,Middleweight,United States,,1.22,40,2.27,42,0,0,22,4.9,0,1,0,1,0,0
4038,Samy Schiavo,1975-12-24,68,155,Bushido Academie,Bantamweight,France,,1.68,34,2.62,38,0.94,50,66,0.9,0,2,0,2,0,0
4208,Lodune Sincaid,1973-05-07,69,185,,Middleweight,United States,,2.45,44,6.7,49,0,0,75,0,0,1,0,1,0,0
4371,Wes Combs,1973-06-18,74,205,Millennia MMA,Heavyweight,United States,,2.14,48,4.73,45,0,0,0,0,0,2,0,2,0,0
4388,Bill Mahood,1967-02-01,75,200,Revolution Fight Team,Light Heavyweight,Canada,,1.54,85,3.59,17,0,0,0,3.9,0,1,0,1,0,0
4391,Victor Valimaki,1981-12-17,72,233,Complete Fitness and Martial Arts,Heavyweight,Canada,,,,,,,,,,0,2,0,2,0,0
4397,Mike Whitehead,1981-06-29,73,205,Xtreme Couture,Heavyweight,United States,,1.62,33,2.36,59,3.59,43,77,0.3,0,1,0,1,0,0
4399,Kevin Jordan,1970-12-31,75,245,USCAA,Heavyweight,United States,,2,40,1.91,55,0,0,77,0.6,0,2,0,2,0,0
4555,Gideon Ray,1973-05-27,70,185,MMA Masters Chicago,Welterweight,United States,,2.08,40,2.58,53,1.49,100,0,0,0,3,0,3,0,0
4556,Derrick Noble,1978-08-14,69,170,Minnesota Martial Arts Academy,Welterweight,United States,,6.21,40,3.79,59,0,0,0,0,0,1,0,1,0,0
4582,Joe Jordan,1978-07-28,66,170,Miletich Fighting Systems,Welterweight,United States,,,,,,,,,,0,1,0,1,0,0
121077,Alex Nicholson,1990-05-02,76,185,,Heavyweight,United States,81,4.39,43,4.13,50,0,0,55,0,0,1,0,1,0,0
4638,Rob MacDonald,1978-09-05,75,205,Franco Behring,Heavyweight,Canada,78,1.8,50,2.04,46,7.19,80,80,5.4,0,2,0,2,0,0
4673,Brandon Wolff,1975-10-18,70,170,MMA Development,Welterweight,United States,,0.47,33,10.91,19,0,0,0,0,0,2,0,2,0,0
4767,Alberto Crane,1976-07-14,69,155,Alberto Crane MMA,Lightweight,United States,,0.43,25,2.61,57,0,0,50,4,0,2,0,2,0,0
5269,Brian Geraghty,1980-11-04,67,155,Freestyle Academy,Lightweight,United States,,0.47,25,9.77,36,0,0,50,0,0,1,0,1,0,0
5358,Rosi Sexton,1977-07-16,63,135,Next Generation,Bantamweight,England,63,3.31,39,7.42,41,0.75,10,80,0,0,2,0,2,0,0
5434,Delson Heleno,1977-11-16,71,185,CM System,Welterweight,Brazil,,0.69,75,4.83,19,0,0,0,0,0,1,0,1,0,0
6608,Luis Henrique Barbosa de Oliveira,1993-08-21,75,243,Infight,Heavyweight,Brazil,,,,,,,,,,0,1,0,1,0,0
7110,Antonio Mendes,1981-04-19,75,205,Dragon Fight,Light Heavyweight,Brazil,77,1.34,47,6.85,22,2.51,50,100,0,0,2,0,2,0,0
7127,Kyle Watson,1979-08-09,72,155,HIT Squad,Lightweight,United States,,3.67,35,3.25,62,0,0,100,0,0,1,0,1,0,0
7148,Ansar Chalangov,1979-10-30,69,170,Legion Fight Team,Middleweight,Russia,,0.68,66,1.69,54,0,0,0,7.6,0,2,0,2,0,0
7329,Joe Veres,1977-11-09,66,155,MMA Lab,Lightweight,United States,,0,0,5.55,27,0,0,0,0,0,2,0,2,0,0
7358,Chris Saunders,1986-03-11,68,155,All In MMA,Lightweight,United States,,1.48,22,2.96,75,3.7,100,0,0,0,1,0,1,0,0
7406,Luke Caudillo,1980-11-30,67,155,Grudge Training Center,Lightweight,United States,,1.97,28,5.07,55,0.44,20,85,0,0,2,0,2,0,0
7407,John Halverson,1972-09-08,69,155,,Lightweight,United States,,2.94,43,5.29,47,0,0,66,2,0,2,0,2,0,0
7652,Josh Hendricks,1976-08-28,74,235,Superior Health Club,Heavyweight,United States,,0.98,20,11.8,29,0,0,0,0,0,1,0,1,0,0
7690,Fabiano Scherner,1972-06-30,76,257,Team Quest,Heavyweight,Brazil,,1.31,31,3.2,38,1.09,33,40,0,0,2,0,2,0,0
7798,Jason Miller,1980-12-24,72,185,Team Mayhem,Middleweight,United States,72,1.83,43,2.3,49,1.31,28,43,1.3,0,3,0,3,0,0
8224,Mostapha Al-Turk,1973-07-14,74,245,London Shootfighters,Heavyweight,England,77,1.36,19,3.61,53,0,0,0,0,0,3,0,3,0,0
8654,Matt Horwich,1978-02-10,71,186,Legends MMA,Middleweight,United States,,,,,,,,,,0,2,0,2,0,0
8761,Xavier Foupa-Pokam,1982-03-07,73,185,Snake Team,Middleweight,France,,,,,,,,,,0,2,0,2,0,0
1587,Assuerio Silva,1974-06-18,73,241,,Heavyweight,Brazil,,1.42,46,4.2,54,2.66,34,25,1.8,0,3,0,3,0,0
227,Andre Pederneiras,1967-03-22,68,155,Nova Uniao,Welterweight,Brazil,,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4441,Paul Creighton,1970-04-07,66,155,,Lightweight,USA,,,,,,,,,,0,1,0,1,0,0
8785,Roxanne Modafferi,1982-09-24,66,135,Syndicate MMA,Flyweight,United States,,2.85,27,5.42,38,0.97,7,0,0,0,1,0,1,0,0
8845,Billy Miles,1978-04-28,70,170,Capital City Fighting Alliance,Middleweight,United States,,0,0,1.25,33,0,0,0,0,0,1,0,1,0,0
9024,Brad Morris,1979-11-01,73,205,Gracie Barra Sydney,Heavyweight,Australia,,0.5,62,6.95,27,0,0,0,0,0,2,0,2,0,0
9062,John Kolosci,1974-11-26,71,185,Gilbert Grappling,Lightweight,United States,,0.21,20,0.85,50,0,0,0,0,0,1,0,1,0,0
9267,Jay Hieron,1976-07-29,71,170,Xtreme Couture,Welterweight,United States,75,1.66,32,1.89,61,4.05,60,66,1,0,4,0,4,0,0
9512,John Polakowski,1981-06-21,69,155,The Pit,Lightweight,United States,,0.14,4,2.05,44,0,0,75,2,0,1,0,1,0,0
9534,Diego Saraiva,1982-04-23,66,155,Team Octopus,Lightweight,United States,,1.64,32,3.58,62,1.33,40,0,0.7,0,3,0,3,0,0
9785,Jeff Cox,1968-08-02,70,155,Strong Style Fight Team,Lightweight,United States,,0.56,25,1.69,33,4.23,50,80,0,0,2,0,2,0,0
9786,Dorian Price,1977-08-20,75,170,Team Jorge Gurgel,Lightweight,United States,,0,0,0,0,0,0,0,0,0,1,0,1,0,0
10071,Lisa Ellis,1982-11-15,64,115,United Training Center,Strawweight,United States,62,1.68,48,2.32,57,4.19,63,50,0.6,0,2,0,2,0,0
10093,Julie Kedzie,1981-03-18,65,135,Jackson-Wink MMA,Bantamweight,United States,64,2.9,36,3.18,46,1.14,23,78,0,0,2,0,2,0,0
10226,Justin Levens,1980-04-18,70,185,CSW,Middleweight,United States,,0.37,20,3.49,40,0,0,33,2.8,0,2,0,2,0,0
11486,Donny Walker,1980-01-04,69,135,GriffonRawl Thaiboxing & MMA Academy,Featherweight,United States,,1.81,37,3.85,46,0,0,57,1.7,0,2,0,2,0,0
11729,Abner Lloveras,1982-09-04,71,155,Gracie Barcelona,Lightweight,Spain,71,6.27,49,6.87,43,2,20,0,0,0,1,0,1,0,0
11907,Edilberto de Oliveira,1982-11-22,72,170,Champion Team,Welterweight,Brazil,,4.12,32,6.79,61,0,0,0,0,0,2,0,2,0,0
12096,Troy Mandaloniz,1980-01-02,69,170,,Welterweight,United States,,,,,,,,,,0,1,0,1,0,0
12116,Shayna Baszler,1980-08-08,67,135,CSW,Bantamweight,United States,67,2.49,30,6.36,51,0.67,18,44,1.3,0,2,0,2,0,0
12158,Damacio Page,1982-09-30,66,135,Jackson-Wink MMA,Flyweight,United States,66,2.05,38,2.47,51,2.63,64,23,0.9,0,3,0,3,0,0
12196,Takenori Sato,1985-06-08,70,170,Tribe Tokyo MMA,Welterweight,Japan,71,0.46,33,12.92,9,0,0,0,0,0,2,0,2,0,0
12234,Derek Downey,1980-04-27,74,185,Victory MMA,Middleweight,United States,,0.32,100,3.36,12,2.4,16,0,0,0,1,0,1,0,0
12369,Jason Tan,1981-12-17,70,170,,Welterweight,England,,0.69,29,7.37,18,0,0,0,0,0,2,0,2,0,0
12553,Willamy Freire,1987-07-28,68,155,Dragon Fight,Lightweight,Brazil,,1.53,37,0.93,62,0.5,100,73,0,0,1,0,1,0,0
12690,Jason Thacker,1975-08-18,72,185,,Middleweight,Canada,,0.63,33,17.05,32,0,0,0,0,0,1,0,1,0,0
12692,Reese Andy,1973-03-31,72,205,West Coast Fight Team,Light Heavyweight,United States,,2.87,50,3.5,58,0.67,20,40,0,0,2,0,2,0,0
12854,Sherman Pendergarst,1967-08-01,73,235,Miletich Fighting Systems,Light Heavyweight,United States,,1.23,36,3.08,16,4.62,100,0,0,0,1,0,1,0,0
12943,Scott Junk,1978-12-17,73,265,MMA Development,Heavyweight,United States,,5.13,60,1.81,45,0,0,0,0,0,1,0,1,0,0
12955,Denis Stojnic,1980-02-02,72,245,Golden Glory,Heavyweight,Bosnia and Herzegovina,,1.51,23,6.06,36,0,0,80,1,0,2,0,2,0,0
12961,Bristol Marunde,1982-04-20,73,170,Syndicate MMA,Welterweight,United States,71,1.42,21,4.4,47,1.6,33,14,0,0,2,0,2,0,0
13093,Danillo Villefort,1983-05-08,73,185,Blackzilians,Middleweight,United States,,2.86,37,2.4,68,1.71,66,33,1.7,0,1,0,1,0,0
13270,Josh Schockman,1981-12-29,76,205,Dirty South Fight Team,Light Heavyweight,United States,,,,,,,,,,0,1,0,1,0,0
